index,NumPixels,ms
0,20,17.521986
1,2,4.760577
2,4,3.310141
3,241,71.582698
4,194,25.364195
5,1096,103.400277
6,459,32.236405
7,583,37.153641
8,660,59.913661
9,557,34.157708
10,616,39.415722
11,1116,65.937258
12,439,35.685276
13,776,38.759118
14,599,33.542844
15,347,34.227657
16,924,50.186316
17,930,44.791964
18,755,52.996532
19,994,62.296069
20,984,46.798657
21,463,21.990585
22,455,21.258572
23,715,28.609747
24,803,23.258765
25,377,20.216991
26,243,12.191093
27,891,23.553721
28,575,22.104974
29,917,20.402009
30,462,14.419463
31,383,9.945212
32,647,15.124257
33,402,8.259867
34,423,10.778405
35,950,25.139248
36,336,6.80672
37,504,7.412024
38,287,4.999396
39,456,18.404897
40,373,10.125611
41,1083,15.534143
42,497,8.866133
43,244,5.814048
44,1186,8.597694
45,232,4.841537
46,180,3.927065
47,559,5.71400
48,567,5.67075
49,1104,6.937919
50,364,4.355071
51,807,5.869198
52,323,3.095012
53,792,5.626961
54,557,3.607759
55,463,12.613358
56,918,8.563074
57,1022,7.054747
58,347,5.371691
59,992,7.764911
60,829,6.862609
61,337,4.059574
62,550,6.431972
63,577,19.940265
64,539,4.217813
65,239,2.921225
66,406,3.075642
67,1033,3.663178
68,208,3.181753
69,702,4.090544
70,896,3.40044
71,397,2.815745
72,498,3.195572
73,470,2.760925
74,654,2.981424
75,698,4.019665
76,1242,4.271482
77,653,5.384682
78,1102,4.140653
79,612,3.196423
80,310,2.34554
81,598,3.968455
82,777,5.285523
83,560,5.391243
84,579,4.307412
85,814,4.003785
86,525,3.548088
87,486,2.648056
88,498,8.933981
89,424,4.361531
90,284,12.31745
91,537,3.306641
92,825,4.056034
93,684,2.541437
94,252,1.978863
95,470,2.546618
96,1215,4.235573
97,634,4.184853
98,563,2.599207
99,750,3.887195
100,282,2.20099
101,113,1.594236
102,532,2.538866
103,638,2.548067
104,496,2.737046
105,425,2.227401
106,748,3.932236
107,437,3.248701
108,533,2.941474
109,752,7.379624
110,671,8.891762
111,549,4.799438
112,1122,5.585891
113,241,2.712456
114,664,3.169572
115,725,3.889406
116,674,5.145865
117,749,4.868117
118,1301,4.871148
119,694,4.452471
120,407,3.790735
121,750,4.443371
122,525,3.718367
123,829,3.085113
124,865,17.193058
125,381,4.606609
126,322,4.853748
127,381,4.966597
128,888,3.527588
129,617,2.847315
130,712,2.902734
131,843,2.692606
132,219,2.20197
133,690,2.052972
134,624,2.21114
135,510,1.743215
136,1214,2.298029
137,747,2.053062
138,839,2.386208
139,902,2.022402
140,606,1.897693
141,901,2.21606
142,147,1.580525
143,1144,2.275831
144,431,1.591846
145,860,1.935862
146,653,1.612447
147,299,1.947134
148,1370,2.30179
149,706,2.560407
150,331,1.926302
151,853,2.102262
152,663,2.25533
153,271,1.745184
154,191,1.401147
155,887,1.941532
156,986,2.052282
157,877,2.23335
158,663,6.507663
159,542,1.717185
160,1405,2.071912
161,670,1.898273
162,588,1.749865
163,976,1.953642
164,253,1.483227
165,775,2.082352
166,899,1.992623
167,480,1.658365
168,244,1.397647
169,184,2.493098
170,264,1.477587
171,465,1.659225
172,556,1.806655
173,562,2.114511
174,266,1.478547
175,761,1.938203
176,885,1.931272
177,516,1.555606
178,681,1.739176
179,845,1.896203
180,463,1.433988
181,702,1.823933
182,794,1.723615
183,370,1.563356
184,495,1.446997
185,713,1.810903
186,808,2.247781
187,545,1.699745
188,462,1.663115
189,69,1.249829
190,167,1.959193
191,729,4.940247
192,263,1.865544
193,517,1.656225
194,442,1.466627
195,966,2.27970
196,701,1.773585
197,949,1.746646
198,658,1.770804
199,584,1.492827
200,421,2.412738
201,558,1.760505
202,123,0.992042
203,417,1.444057
204,978,1.743375
205,453,1.501048
206,595,1.631066
207,451,1.519337
208,474,1.454757
209,737,1.847383
210,454,1.439927
211,182,1.320798
212,394,1.478277
213,264,1.23361
214,918,1.630265
215,496,1.593955
216,407,1.458477
217,472,1.488857
218,475,1.505807
219,613,1.649996
220,848,1.791244
221,937,1.797363
222,571,1.612946
223,471,1.546336
224,572,1.783575
225,631,1.694115
226,1304,2.16795
227,422,1.509487
228,672,1.686125
229,530,2.362279
230,269,1.433477
231,591,1.844403
232,528,1.663185
233,646,3.29996
234,124,1.743414
235,790,4.386371
236,270,3.167402
237,154,1.850223
238,397,3.45304
239,742,4.089584
240,528,3.161002
241,197,2.094471
242,290,2.654427
243,837,3.932816
244,716,2.601427
245,519,3.092673
246,704,2.712906
247,530,2.12518
248,10,2.552068
249,443,2.262181
250,791,2.308249
251,295,3.45756
252,624,3.209131
253,621,3.452599
254,1111,2.530928
255,482,2.761406
256,433,2.680166
257,783,4.335163
258,853,2.315919
259,404,3.641028
260,377,1.756075
261,1288,3.026583
262,502,1.863623
263,549,3.617958
264,629,4.058904
265,336,1.982433
266,572,2.16670
267,472,1.902973
268,506,2.059183
269,746,1.954504
270,511,2.428299
271,500,1.717795
272,825,2.444578
273,407,2.20140
274,678,3.27404
275,705,2.370559
276,87,1.534736
277,742,1.906442
278,1197,2.519398
279,215,1.608695
280,357,1.300029
281,551,1.483676
282,738,1.646445
283,824,1.621856
284,694,1.275298
285,681,1.411437
286,495,1.497017
287,519,1.412508
288,326,1.466557
289,163,0.956602
290,997,1.527147
291,478,1.431107
292,631,1.511226
293,356,1.198059
294,641,1.414718
295,477,1.568646
296,718,1.477307
297,645,1.546596
298,659,1.665845
299,755,1.670305
300,472,1.583236
301,468,1.395188
302,858,1.727294
303,639,2.500838
304,528,1.298679
305,184,1.276759
306,486,1.360418
307,286,1.18658
308,357,1.345398
309,641,1.666875
310,264,1.356898
311,593,2.14941
312,385,1.356758
313,662,1.426558
314,1036,1.593956
315,333,1.386858
316,606,1.445458
317,534,1.256509
318,535,1.418168
319,417,1.248089
320,108,0.916702
321,676,1.412808
322,355,1.455877
323,941,1.617535
324,255,1.264669
325,505,1.320388
326,299,1.082761
327,148,1.261019
328,254,1.19277
329,341,1.12073
330,648,1.399068
331,656,1.351708
332,196,1.14770
333,1039,1.434017
334,696,1.411938
335,467,2.517068
336,339,1.296359
337,619,1.302169
338,606,1.329008
339,674,1.547897
340,732,2.671016
341,328,2.24076
342,245,1.385408
343,649,1.513786
344,1217,1.855384
345,663,1.659485
346,729,1.474307
347,141,1.06031
348,332,1.253889
349,747,1.545447
350,271,2.021353
351,323,1.479287
352,191,1.696415
353,781,2.35908
354,475,2.582277
355,705,1.799294
356,961,1.722165
357,764,1.643726
358,392,1.326828
359,426,1.294669
360,671,1.431817
361,153,1.22912
362,148,0.972742
363,399,1.19426
364,545,2.959064
365,446,2.156001
366,587,1.897704
367,694,2.385499
368,629,2.684136
369,630,1.816824
370,533,1.265509
371,806,1.425607
372,578,1.462507
373,580,1.159019
374,715,1.294169
375,203,1.019701
376,333,1.096739
377,468,1.306118
378,348,1.016411
379,405,12.847327
380,268,1.503586
381,558,3.576668
382,735,1.938783
383,992,1.800703
384,248,1.008582
385,534,1.214569
386,579,1.06703
387,527,1.052001
388,311,0.978122
389,190,0.844202
390,413,1.071231
391,348,1.06718
392,419,1.025141
393,233,1.001962
394,379,1.456808
395,323,1.00533
396,182,1.016472
397,125,1.13698
398,111,0.857791
399,53,0.866672
400,61,1.063991
401,653,1.193309
402,1168,1.590176
403,833,1.464847
404,317,2.062423
405,483,1.421337
406,780,1.532477
407,299,8.714173
408,592,2.329389
409,353,1.287258
410,216,1.414397
411,623,1.467797
412,513,1.14079
413,310,0.933293
414,699,1.220099
415,883,1.283638
416,597,1.480957
417,762,3.882345
418,749,1.780234
419,305,1.365418
420,192,3.066882
421,555,2.692796
422,493,1.663815
