feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glcm_Autocorrelation,glcm,original_glcm_Autocorrelation,410,0.9999980372091404,0.9999971746587848,0.9999971815498415,0.0032867752096598225,0.0017232969452321,0.03079955696169634,0.00035407291555426606,0.009465285545878534,0.0,0.8170731707317073,0.9999925869044656,0.003233464672074584,5.472779920873614,2.4309814318293466,discrepant
glcm_ClusterProminence,glcm,original_glcm_ClusterProminence,410,0.9999130576527936,0.9998504616863769,0.9998508263595633,0.07908805376473846,0.023267420543749195,1.385997161931062,0.004874522694490075,0.07435576360574239,0.0,0.15365853658536585,1.0075645682293881,0.00925117270868293,9.186391854942242,9.576190837726072,discrepant
glcm_ClusterShade,glcm,original_glcm_ClusterShade,410,0.9998368380333973,0.9997321436234998,0.9997327967571693,0.01690685273255699,0.005577394259125791,0.32093114666410694,0.009735925786152427,6.3703487414983355,0.0,0.21951219512195122,1.0096358736671742,0.009931605860074218,0.6294400723806668,1.4888314037989905,discrepant
glcm_ClusterTendency,glcm,original_glcm_ClusterTendency,410,0.9999754595792563,0.9999572195222742,0.9999573238604502,0.004530640209923473,0.0023187813580708427,0.0534124570095007,0.0018203941778466444,0.029233259279575537,0.0,0.3439024390243902,1.002924239639691,-0.00012307028173349168,1.5893615416360674,0.8567001923043395,discrepant
glcm_Contrast,glcm,original_glcm_Contrast,410,0.9997596384518869,0.9994513639689504,0.999452701373251,0.0028396665404409756,0.0013029805231684621,0.04282427149964474,0.004567209359696069,0.05879763551905337,0.0,0.37317073170731707,0.9823724609314753,0.0032009473347957523,0.3423246398670316,0.1625866257557964,discrepant
glcm_Correlation,glcm,original_glcm_Correlation,410,0.9989641214918825,0.9980083750605776,0.99801322303137,0.004473634962390312,0.0028618749976345725,0.06456953635034329,0.004631956082738341,0.2106146973679292,0.0,0.20243902439024392,0.977244863176222,0.01850184895367071,0.617039089449938,0.11918544358770003,discrepant
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,410,0.9997587624965846,0.9994811395999216,0.9994824044580685,0.0019981363286761225,0.0011103162962567692,0.022910106063091185,0.0037996486347625343,0.04932164046331119,0.0,0.43658536585365854,0.9851865706463129,0.0025634154840108946,0.3074638677595871,0.10879207854735555,discrepant
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,410,0.9982436048189225,0.9939579385486839,0.993972586459534,0.015085151742733165,0.010429168713336268,0.10171660288728512,0.011741293510950055,0.10414701161523499,0.0,0.007317073170731708,1.047628179832872,-0.027729167341524277,0.8989283074535586,0.18564848244627813,discrepant
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,410,0.9981194631870096,0.9963885956662194,0.9963973722364347,0.003919662424616635,0.0019573566033617984,0.05995786335491737,0.009256497746142239,0.13730799230551288,0.0,0.25365853658536586,1.0356656700256455,-0.004311637701876654,0.23076570381929454,0.08374027360067651,discrepant
glcm_Id,glcm,original_glcm_Id,410,0.9997526169032563,0.9994938830076706,0.999495116816115,0.0008685974744979371,0.0005104508634283245,0.010270206137750315,0.000599188117794653,0.013238004295868418,0.0,0.7707317073170732,0.9865964361047582,0.012281890473141438,0.8518121625092905,0.04704418002045891,discrepant
