label,cell_id,classification,x,y,width,height,area,centroid_x,centroid_y
330,3debb00e-7cd0-4946-bd30-c1d61a622d49,"Unclassified",205.0,83.0,14.0,12.0,138.0,211.44203186035156,89.31159210205078
331,4757ae79-c9e7-4f67-ace5-a50456ee110e,"Unclassified",468.0,569.0,14.0,18.0,138.0,474.5797119140625,578.1304321289062
332,f166a5d5-14d9-4bc4-a8ea-f3e2fef835d4,"Unclassified",553.0,642.0,15.0,14.0,138.0,559.8695678710938,648.9347534179688
333,0614ec02-6cfa-4862-8f61-48affa02b3b8,"Unclassified",820.0,649.0,12.0,15.0,137.0,826.07666015625,656.7627563476562
334,35ebaf44-5a54-4401-b554-a3573d5e266a,"Unclassified",885.0,687.0,11.0,16.0,135.0,890.781494140625,695.0407104492188
335,7ad0d1e7-105b-49bb-af54-57c71841d361,"Unclassified",740.0,241.0,13.0,14.0,134.0,746.3134155273438,248.08209228515625
336,c3469efd-8fd1-4c67-95bc-271532aaa73b,"Unclassified",415.0,380.0,13.0,13.0,133.0,421.868408203125,386.45489501953125
337,ffe1d092-ddca-4fe6-b666-ba0a5ada6789,"Unclassified",619.0,648.0,13.0,14.0,133.0,626.1466064453125,655.1616821289062
338,9b8a9388-ee69-43b1-9a19-77fda23903d2,"Unclassified",278.0,610.0,16.0,12.0,132.0,286.56817626953125,615.8787841796875
339,60fb28f9-7683-4118-939d-27133845419f,"Unclassified",34.0,215.0,15.0,11.0,131.0,41.45419692993164,220.72137451171875
340,2f76a5b8-2695-4f83-8cb8-d78dc8b33b1b,"Unclassified",3.0,630.0,13.0,13.0,129.0,9.236433982849121,636.5
341,7cb73ee2-2080-44f5-ad2c-738f261721df,"Unclassified",520.0,751.0,12.0,13.0,129.0,526.034912109375,757.7945556640625
342,2b6c246d-c0a2-4983-8c04-2879f410f625,"Unclassified",423.0,38.0,14.0,12.0,128.0,429.8828125,43.96875
343,78966571-4d98-4c9b-bcdc-41a90988c52e,"Unclassified",39.0,671.0,12.0,14.0,128.0,45.3515625,678.2578125
344,bf754077-61ad-43c4-9121-c1d8ef710c5a,"Unclassified",271.0,184.0,13.0,13.0,127.0,277.2480163574219,190.531494140625
345,2cfd1b68-1c1a-464a-99d2-700ed40f4f92,"Unclassified",401.0,598.0,12.0,16.0,126.0,407.1745910644531,605.59521484375
346,af2aa253-553a-43cf-ae57-a93fb0dcdeca,"Unclassified",165.0,658.0,14.0,14.0,126.0,172.73809814453125,663.8412475585938
347,807b391f-4339-4960-9fe9-012d71f1aca2,"Unclassified",256.0,224.0,13.0,13.0,125.0,262.1239929199219,230.6999969482422
348,60edf6cd-cad1-4b92-abee-be3aae785610,"Unclassified",586.0,296.0,11.0,16.0,125.0,591.4439697265625,303.9960021972656
349,94acfc5d-f5c5-4f92-8348-b5b4d09a36bb,"Unclassified",159.0,314.0,14.0,12.0,124.0,165.89515686035156,319.8790283203125
350,a808a686-12ea-47f0-8c55-955ca95a9f58,"Unclassified",855.0,482.0,12.0,14.0,124.0,861.01611328125,488.9032287597656
351,92c33e85-7fa9-4f74-b046-3c43aed02479,"Unclassified",487.0,31.0,12.0,12.0,122.0,493.0655822753906,37.081966400146484
352,5f481db8-d02a-49ad-88f3-a3d553954275,"Unclassified",450.0,402.0,16.0,12.0,122.0,458.2704772949219,407.68853759765625
353,f61a2baf-8ca4-4577-b564-e1ccabc8f72a,"Unclassified",139.0,356.0,15.0,14.0,120.0,146.34165954589844,362.9666748046875
354,2ee3610b-ba93-4ed5-9241-99fc59dc0f37,"Unclassified",121.0,727.0,15.0,10.0,120.0,128.8249969482422,731.6749877929688
355,aa1782e2-ce70-42dd-b94f-daac86287852,"Unclassified",94.0,115.0,12.0,13.0,119.0,99.7100830078125,121.84453582763672
356,3af31338-7a6f-4c99-8710-f550a0c57bbf,"Unclassified",781.0,177.0,19.0,21.0,119.0,790.3487548828125,188.5504150390625
357,72fcd8b1-bde8-4ba2-ba89-b6c38663bb6a,"Unclassified",299.0,281.0,12.0,13.0,119.0,304.8865661621094,287.5420227050781
358,57cd8364-4262-4fc8-8679-796304bd2325,"Unclassified",712.0,751.0,10.0,16.0,118.0,717.296630859375,760.0
359,c065cef2-50bd-41f2-a49b-b20cdc176cbc,"Unclassified",150.0,408.0,15.0,11.0,117.0,157.63674926757812,413.8247985839844
360,e7375fdd-edc6-45db-b3bd-801f9f9cd663,"Unclassified",102.0,245.0,9.0,17.0,116.0,106.82758331298828,252.8189697265625
361,d6ed2c89-8b8e-4fb3-84cc-9c570e9f7c96,"Unclassified",744.0,170.0,10.0,15.0,115.0,749.2391357421875,176.9956512451172
362,c1f3cb4e-2abf-4444-b23b-d8b1691f10cd,"Unclassified",880.0,720.0,16.0,10.0,115.0,888.569580078125,725.8043212890625
363,009d6674-5a1b-48f5-90a4-89e9032831d8,"Unclassified",200.0,196.0,20.0,8.0,112.0,210.875,199.7232208251953
364,03ff974b-6241-4d13-98d7-34e0588de323,"Unclassified",676.0,442.0,18.0,10.0,111.0,684.5180053710938,447.02252197265625
365,e3282ace-1789-424c-a329-f01b1109fccc,"Unclassified",95.0,480.0,14.0,10.0,111.0,102.17567443847656,484.9414367675781
366,b31711be-a697-4d6f-88dd-9cae0adce3ed,"Unclassified",34.0,415.0,10.0,19.0,110.0,38.78181838989258,424.4818115234375
367,37534b42-3d92-4af7-be7e-49ce7a8beaff,"Unclassified",719.0,565.0,13.0,22.0,110.0,725.7817993164062,575.536376953125
368,9b275ce0-295e-42de-9a1c-3975aa009e94,"Unclassified",366.0,495.0,16.0,10.0,109.0,373.7935791015625,499.7568664550781
369,e2f15cb8-66a3-42e0-886d-a3efc1793486,"Unclassified",408.0,62.0,13.0,17.0,106.0,414.2075500488281,70.25471496582031
370,a67e6744-05a3-4c62-bf65-3aea029eb88a,"Unclassified",150.0,344.0,15.0,9.0,106.0,157.66981506347656,348.5377502441406
371,379251fb-9e42-41c2-8dab-08d401418c72,"Unclassified",856.0,398.0,14.0,9.0,106.0,862.8113403320312,402.3584899902344
372,7976e7fc-d029-4a3c-b35e-453128bf7b50,"Unclassified",54.0,216.0,13.0,12.0,105.0,60.97618865966797,221.8333282470703
373,481e3a37-9d1a-4f98-804b-89c70d0da1c1,"Unclassified",82.0,135.0,8.0,18.0,104.0,86.11538696289062,144.73077392578125
374,788620f8-3c69-455b-9665-ee6c6ad98ead,"Unclassified",575.0,550.0,13.0,11.0,104.0,581.1153564453125,555.1538696289062
375,59fd50ff-4d56-4f17-b51a-c507328003aa,"Unclassified",443.0,301.0,9.0,15.0,103.0,447.47088623046875,308.4611511230469
376,6965bde1-a6e4-4aa3-93c4-3a7cacd70a80,"Unclassified",164.0,688.0,10.0,14.0,102.0,169.43136596679688,694.8431396484375
377,13633e2e-b3ea-4c84-bd3f-cf494de4a513,"Unclassified",847.0,173.0,11.0,12.0,101.0,852.5396118164062,179.34158325195312
378,023a3ede-a7e8-44d4-bd4b-6c1ae8016cae,"Unclassified",26.0,479.0,14.0,9.0,101.0,32.35148620605469,483.5989990234375
379,9f501e29-5c25-4153-bddc-0c27a77140ba,"Unclassified",707.0,171.0,12.0,12.0,100.0,712.9199829101562,176.1300048828125
380,83df9e7d-e6a3-41d3-b272-7a913a119037,"Unclassified",412.0,32.0,8.0,22.0,99.0,415.88385009765625,44.419193267822266
381,5708fed2-e886-48c5-9cd0-280b49605a29,"Unclassified",12.0,467.0,15.0,9.0,99.0,19.803030014038086,471.5404052734375
382,bd832487-e29c-4d24-83c4-84868331b0cc,"Unclassified",68.0,756.0,11.0,12.0,99.0,73.53030395507812,762.0353393554688
383,972d511d-b9db-4682-a3e9-b4b42a97316e,"Unclassified",871.0,348.0,12.0,13.0,97.0,876.9845581054688,354.4484558105469
