index,NumPixels,ms
0,254,62.871675
1,454,38.58190
2,239,27.708565
3,56,10.675796
4,664,53.14072
5,251,23.223324
6,447,32.344244
7,45,8.492705
8,347,25.470325
9,166,11.614367
10,228,15.586722
11,265,17.641775
12,621,45.604618
13,479,33.891791
14,401,51.941121
15,700,55.55493
16,211,14.970818
17,113,8.380656
18,168,12.022103
19,709,42.546983
20,602,37.538889
21,767,47.192283
22,331,22.061866
23,1480,74.186955
24,395,32.651301
25,495,20.936935
26,276,19.054522
27,223,12.311231
28,657,24.280775
29,437,16.918261
30,745,20.526868
31,531,22.322413
32,426,14.998518
33,428,13.101865
34,851,22.146314
35,570,20.839266
36,464,17.029429
37,436,15.102027
38,597,26.149219
39,509,18.590316
40,683,19.27434
41,653,22.312123
42,560,12.51473
43,208,8.343407
44,813,16.94917
45,1568,32.067876
46,484,10.320778
47,372,10.607606
48,239,5.827868
49,876,13.075444
50,385,10.392249
51,537,9.671095
52,977,18.403038
53,401,6.001997
54,209,3.879045
55,348,5.678591
56,829,5.111494
57,188,2.691685
58,646,4.699349
59,390,2.955744
60,838,5.785689
61,178,3.178882
62,673,6.332454
63,410,4.712608
64,365,3.012833
65,64,1.677266
66,114,2.103402
67,451,2.988124
68,247,3.973054
69,154,2.209551
70,264,2.960334
71,599,3.968985
72,213,2.630236
73,453,6.071527
74,453,4.284362
75,396,3.49894
76,376,2.882994
77,219,2.002553
78,531,2.949653
79,286,2.958864
80,317,2.107501
81,494,3.46431
82,483,4.279162
83,159,12.679878
84,1325,6.311334
85,203,4.154324
86,87,2.173332
87,88,2.049612
88,535,5.63881
89,286,3.203912
90,122,3.35703
91,1263,6.707061
92,44,4.516239
93,232,2.514868
94,378,2.629837
95,282,2.532688
96,364,12.998705
97,495,6.264444
98,141,8.639803
99,261,2.223829
100,303,2.533158
101,323,2.737016
102,827,4.680189
103,540,2.723046
104,571,6.288773
105,281,6.945299
106,235,2.680197
107,521,6.558902
108,702,5.197315
109,269,3.51416
110,480,6.954729
111,369,3.870036
112,526,4.453421
113,63,1.863155
114,372,3.039894
115,193,2.025863
116,220,2.110291
117,85,1.788034
118,408,4.323552
119,311,3.031043
120,282,3.246962
121,96,2.104772
122,700,5.64985
123,820,5.48041
124,65,18.260899
125,229,2.767606
126,495,3.653909
127,400,5.686291
128,66,3.193371
129,343,2.563837
130,382,4.132714
131,479,4.204223
132,312,3.215752
133,169,1.928233
134,364,2.11293
135,214,1.866663
136,652,2.977833
137,301,1.924863
138,111,3.33880
139,46,1.530597
140,100,1.597275
141,188,2.171951
142,105,1.686885
143,40,1.236559
144,253,3.28610
145,115,2.736966
146,126,1.695505
147,560,2.728046
148,263,1.769324
149,427,4.832656
150,340,2.003912
151,288,4.42736
152,275,2.933404
153,562,3.032573
154,364,2.741026
155,226,2.039072
156,493,2.579756
157,507,3.011523
158,491,2.510498
159,353,2.074552
160,456,7.454884
161,337,4.902068
162,144,2.213321
163,302,2.576157
164,969,7.198156
165,201,2.256071
166,71,1.523716
167,94,1.532046
168,172,1.638025
169,271,3.066622
170,263,2.23822
171,333,2.696745
172,121,6.895219
173,362,2.576377
174,276,2.20093
175,39,3.526478
176,113,4.154093
177,183,2.963643
178,178,5.113865
179,224,1.882683
180,386,2.079761
181,134,1.718176
182,483,1.904044
183,193,1.581116
184,137,2.023302
185,159,1.483157
186,184,1.652765
187,291,1.711005
188,304,2.515968
189,315,3.487409
190,56,6.150456
191,149,7.478473
192,208,10.266199
193,233,2.019163
194,61,1.283129
195,277,1.772044
196,85,15.243595
197,269,1.971353
198,344,1.872683
199,286,2.391808
200,138,1.673585
201,109,1.667625
202,663,3.062782
203,483,2.623747
204,107,2.507568
205,638,3.132103
206,444,2.278679
207,287,1.859674
208,525,1.987582
209,134,7.088648
210,281,3.871636
211,283,2.587727
212,517,1.784034
213,276,1.553906
214,257,2.134472
215,336,1.589625
216,169,1.356188
217,178,1.385478
218,272,1.442427
219,378,1.654795
220,370,3.221122
221,474,1.610685
222,230,1.676105
223,305,1.899073
224,543,2.18184
225,154,1.456607
226,244,2.448499
227,143,2.024701
228,99,1.844783
229,144,1.905662
230,103,1.658545
231,376,2.465639
232,258,2.30973
233,411,2.27815
234,361,8.244258
235,323,3.562409
236,454,2.453907
237,102,1.322898
238,91,1.12813
239,225,2.35927
240,328,1.794495
241,173,1.435058
242,922,2.38800
243,83,2.728216
244,326,2.230961
245,120,1.937502
246,312,2.062302
247,436,1.742795
248,507,1.584086
249,796,2.19881
250,283,2.608637
251,225,4.229982
252,106,23.095336
253,61,1.609036
254,31,1.915083
255,201,2.26226
256,114,1.639215
257,280,1.408248
258,82,1.812304
259,278,2.035431
