index,NumPixels,ms
0,127,22.433632
1,325,45.814886
2,254,25.439936
3,563,42.908831
4,863,52.05396
5,1048,53.907714
6,431,25.511795
7,435,24.197736
8,433,36.441038
9,350,22.567091
10,836,73.747148
11,247,15.652302
12,330,19.769256
13,412,26.662474
14,151,10.287399
15,589,62.721324
16,389,20.952864
17,985,53.848864
18,144,15.077957
19,428,29.749867
20,1129,61.11558
21,287,13.643649
22,423,13.56010
23,469,15.632971
24,402,13.042796
25,602,18.887493
26,554,19.270329
27,301,8.239178
28,427,10.784836
29,42,2.550187
30,1009,22.882989
31,400,9.034361
32,209,5.476241
33,374,8.622234
34,314,8.123019
35,606,21.969366
36,448,10.13052
37,546,13.192603
38,242,6.196415
39,994,21.52469
40,416,16.322355
41,428,7.96171
42,192,5.809858
43,127,3.078732
44,552,5.591951
45,311,5.022196
46,697,7.401055
47,386,5.187225
48,154,3.863865
49,449,4.909047
50,639,5.345223
51,1150,7.435834
52,279,4.098563
53,368,5.268653
54,417,4.439622
55,386,4.300042
56,368,4.165894
57,471,4.467901
58,163,3.29756
59,604,3.814297
60,639,6.135725
61,151,2.27991
62,150,4.779717
63,439,6.79136
64,455,3.756426
65,334,2.813215
66,500,3.118943
67,512,3.675617
68,413,3.982605
69,432,3.533829
70,1043,4.945537
71,395,3.131592
72,856,4.506171
73,388,3.181851
74,259,2.846645
75,450,3.528659
76,308,2.931815
77,458,3.071454
78,480,2.965454
79,747,4.45225
80,336,2.867914
81,845,4.565549
82,608,4.221413
83,133,3.438821
84,370,2.656677
85,404,3.455459
86,460,2.350878
87,1800,8.706294
88,268,2.652647
89,549,2.727316
90,344,2.232709
91,259,3.479609
92,507,3.793666
93,821,3.029643
94,297,2.233281
95,479,3.012723
96,68,1.655385
97,384,3.916165
98,483,3.220692
99,466,3.969564
100,576,2.892094
101,352,5.050506
102,427,3.786617
103,278,3.642707
104,356,2.789516
105,509,5.194545
106,550,4.245492
107,367,3.637488
108,371,2.678477
109,688,3.252642
110,502,3.619168
111,424,3.754367
112,371,4.557539
113,342,3.567018
114,372,3.037333
115,1548,6.060586
116,608,3.512908
117,368,2.626877
118,337,5.569271
119,364,4.50100
120,412,4.432871
121,363,4.038955
122,437,5.986666
123,330,2.876924
124,368,19.191951
125,315,4.132754
126,396,4.282702
127,593,6.231805
128,781,4.758548
129,415,4.899506
130,24,2.37917
131,414,2.911954
132,379,2.973545
133,453,4.323733
134,752,3.515688
135,583,3.874186
136,339,2.810365
137,296,2.599847
138,443,3.647028
139,439,3.573748
140,1608,4.833308
141,311,4.358641
142,878,4.145664
143,208,1.884434
144,266,2.015503
145,321,4.010495
146,533,3.698187
147,156,2.408169
148,408,2.25269
149,351,2.511468
150,290,1.838544
151,779,4.077354
152,354,2.326399
153,498,2.421639
154,409,1.969543
155,341,2.361128
156,203,2.19349
157,347,2.046122
158,449,2.837015
159,429,2.939624
160,972,3.866986
161,300,1.800845
162,285,2.116061
163,341,2.14894
164,756,3.523359
165,369,2.866135
166,345,4.108864
167,418,2.496598
168,1104,3.657118
169,314,1.963643
170,166,1.977623
171,341,1.779645
172,461,1.822105
173,577,1.989392
174,429,1.889183
175,473,2.004503
176,903,3.35747
177,289,1.600486
178,319,1.697755
179,2298,3.40156
180,1002,2.089531
181,419,2.034232
182,317,1.726424
183,271,1.392058
184,216,1.672815
185,395,1.708685
186,514,1.647865
187,316,1.604335
188,377,1.446168
189,283,1.811655
190,344,2.491439
191,315,1.878665
192,546,1.962583
193,663,1.686885
194,638,1.482388
195,136,1.196439
196,451,2.207281
197,304,1.393688
198,269,1.437497
199,229,1.474697
200,463,1.605915
201,503,1.684175
202,1038,1.998863
203,317,1.248919
204,520,1.714916
205,323,1.284429
206,418,1.715364
207,317,1.410357
208,193,9.022421
209,1065,2.046002
210,520,1.487987
211,439,2.873824
212,646,1.703105
213,364,1.536177
214,465,1.669535
215,833,2.124011
216,391,1.438617
217,211,1.469767
218,413,1.427468
219,546,1.487597
220,505,3.300441
221,513,1.766304
222,903,2.400749
223,243,1.258009
224,261,1.270619
225,743,1.602367
226,905,1.606735
227,496,1.432257
228,500,1.667255
229,295,1.357878
230,361,1.309659
231,287,1.431838
232,372,1.873264
233,393,2.452867
234,618,1.913934
235,316,1.385298
236,553,2.064822
237,226,1.262999
238,773,1.661125
239,464,1.419577
240,450,1.665825
241,776,1.618066
242,220,1.940073
243,407,1.891753
244,356,1.552596
245,434,1.457897
246,1164,1.876963
247,192,1.22470
248,358,1.305569
249,312,1.353258
250,240,1.450698
251,212,2.22634
252,578,2.706096
253,268,1.788684
254,555,2.029251
255,425,14.934257
256,366,3.160992
257,392,4.029024
258,592,4.010205
259,239,2.265489
260,433,2.490178
261,179,1.844055
262,950,5.65923
263,221,1.988252
264,260,2.136852
265,572,3.015413
266,178,1.764594
267,413,1.850393
268,597,1.878313
269,485,1.517616
270,341,1.847293
271,311,2.28237
272,164,1.408377
273,309,2.765836
274,595,1.683846
275,377,2.019313
276,469,1.691566
277,340,2.110162
278,415,2.28356
279,319,1.809574
280,1035,2.21072
281,318,2.432737
282,720,18.525336
283,143,3.047413
284,412,2.674017
285,524,2.419729
286,404,2.841454
287,484,3.498868
288,581,2.067793
289,462,1.780244
290,333,2.272369
291,573,3.276511
292,512,2.494358
293,276,2.191602
294,1038,2.860245
295,480,2.759966
296,446,2.849205
297,969,2.828325
298,802,3.985555
299,460,1.570226
300,456,1.455297
301,441,1.882574
302,1310,2.24663
303,346,2.14037
304,444,1.263679
305,935,1.542536
306,393,2.783985
307,439,3.043223
308,437,3.085063
309,375,2.708656
310,145,2.764456
311,114,3.058912
312,410,3.330741
313,397,3.007793
314,308,15.294895
315,438,2.390889
316,440,2.080822
317,581,1.837934
318,338,2.197961
319,613,1.655505
320,449,1.550676
321,567,1.408428
322,385,1.358278
323,180,1.373738
324,90,1.324379
325,353,1.559666
326,381,1.768415
327,233,1.357008
328,562,1.889164
329,518,2.118592
330,425,1.551557
331,311,1.582846
332,290,2.14009
333,158,1.566346
334,520,1.922123
335,382,1.193669
336,185,1.008511
337,335,1.286339
338,126,1.01778
339,431,1.330968
340,827,1.644806
341,1139,1.887213
342,397,2.049561
343,267,1.216919
344,1160,1.758064
345,355,1.635496
346,187,1.499846
347,419,2.001212
348,277,1.15373
349,314,1.298589
350,70,0.857703
351,264,1.041721
352,387,1.380268
353,522,1.444697
354,483,1.499427
355,292,1.611546
356,456,1.713325
357,247,1.394157
358,409,1.449037
359,565,1.744055
360,423,5.675959
361,334,2.561047
362,652,1.682445
363,438,1.315398
364,491,1.290849
365,344,1.354498
366,1393,1.664025
367,396,1.11948
368,470,1.483747
369,284,1.068441
370,296,1.267549
371,279,1.10266
372,331,1.216489
373,454,2.566878
374,669,1.297959
375,693,1.243478
376,1724,1.964372
377,218,0.974442
