feature,cls,pyradiomics,mapping,dimensionality,default_on,breast_n,breast_r,breast_ccc,breast_icc,breast_max_rel_err,breast_median_rel_err,breast_status,puma_n,puma_r,puma_ccc,puma_icc,puma_max_rel_err,puma_median_rel_err,puma_status,default_agg_max_rel_err,notes
glcm_DifferenceAverage,glcm,original_glcm_DifferenceAverage,direct,2D,yes,410,1.0,1.0000000000000002,1.0,5.351016787292179e-16,0.0,exact,8644,1.0,1.0,1.0,7.182258008942815e-16,0.0,exact,0.04932164046331119,
glcm_DifferenceEntropy,glcm,original_glcm_DifferenceEntropy,direct,2D,yes,410,0.9999999999999999,1.0,1.0,4.081637226182424e-15,1.0296726654519502e-15,exact,8644,1.0,1.0,1.0,4.156434937285506e-15,1.1339280403354903e-15,exact,0.10414701161523499,
glcm_DifferenceVariance,glcm,original_glcm_DifferenceVariance,direct,2D,yes,410,1.0,1.0,1.0,5.996182137998283e-16,0.0,exact,8644,0.9999999999999998,1.0,1.0,8.649682658028026e-16,0.0,exact,0.13730799230551288,
glcm_Id,glcm,original_glcm_Id,direct,2D,yes,410,1.0,0.9999999999999998,1.0,4.4376158962885267e-16,1.2649401193256212e-16,exact,8644,0.9999999999999998,1.0,1.0,1.2111325735525047e-15,1.281723436263075e-16,exact,0.013238004295868275,
glcm_Idm,glcm,original_glcm_Idm,direct,2D,yes,410,1.0,1.0,1.0,7.76349520333367e-16,1.2704545557905274e-16,exact,8644,1.0,1.0000000000000002,1.0,9.151145396789803e-16,1.2818604291227842e-16,exact,0.013847382111380008,
glcm_Idmn,glcm,original_glcm_Idmn,direct,2D,yes,410,1.0,1.0,1.0,6.801930509629289e-16,0.0,exact,8644,0.9999999999999997,1.0000000000000002,1.0,7.870722865751545e-16,0.0,exact,0.002759762475830802,
glcm_Idn,glcm,original_glcm_Idn,direct,2D,yes,410,1.0,1.0,1.0,5.912814281299479e-16,0.0,exact,8644,1.0,1.0,1.0,9.288852776909085e-16,0.0,exact,0.00603861522888269,
glcm_Imc1,glcm,original_glcm_Imc1,direct,2D,yes,410,1.0,1.0,1.0,1.612812110006482e-13,1.2497638170324542e-14,exact,8644,1.0,0.9999999999999999,1.0,1.700898693036173e-12,2.4836340767516154e-14,exact,0.5714370907027106,
glcm_Imc2,glcm,original_glcm_Imc2,direct,2D,yes,410,0.9999999999999998,1.0,1.0,1.1169753298887916e-12,1.1849204018466877e-15,exact,8644,1.0,0.9999999999999997,1.0,4.409611069552717e-13,1.1047720697566203e-15,exact,0.25373588182499,
glcm_InverseVariance,glcm,original_glcm_InverseVariance,direct,2D,yes,410,1.0,0.9999999999999999,1.0,7.333664441547847e-16,0.0,exact,8644,0.9999999999999998,1.0,1.0,9.936902728758772e-16,0.0,exact,0.04868161186376069,
glcm_JointAverage,glcm,original_glcm_JointAverage,direct,2D,yes,410,1.0,1.0,1.0,4.66331583479434e-16,0.0,exact,8644,1.0,1.0,1.0,9.280791461564638e-16,0.0,exact,0.0024469290965353947,
glcm_JointEnergy,glcm,original_glcm_JointEnergy,direct,2D,yes,410,0.9999999999999999,1.0000000000000002,1.0,8.790499365912797e-16,0.0,exact,8644,1.0,1.0,1.0,1.878147030311626e-15,0.0,exact,0.08785408369189222,
glcm_JointEntropy,glcm,original_glcm_JointEntropy,direct,2D,yes,410,1.0,1.0,1.0,6.1283666989536324e-15,1.7206183105065566e-15,exact,8644,1.0,1.0000000000000002,1.0,7.92458315634811e-15,2.0117142532529734e-15,exact,0.07152143469910228,
glcm_MaximumProbability,glcm,original_glcm_MaximumProbability,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,1.0,1.0,1.0,0.0,0.0,exact,0.06697286396064037,
glcm_SumAverage,glcm,original_glcm_SumAverage,direct,2D,yes,410,1.0,1.0,1.0,3.508326097998573e-16,0.0,exact,8644,1.0,1.0,1.0,5.753247211569421e-16,0.0,exact,0.0024469290965353947,
glcm_SumEntropy,glcm,original_glcm_SumEntropy,direct,2D,yes,410,1.0,1.0,1.0,4.081637226182424e-15,1.0800671638492191e-15,exact,8644,1.0,1.0000000000000002,1.0,4.96154903242831e-15,1.2283723248757846e-15,exact,0.08729719066264477,
glcm_SumSquares,glcm,original_glcm_SumSquares,direct,2D,yes,410,0.9999999999999998,1.0,1.0,5.716104631902193e-16,0.0,exact,8644,1.0,0.9999999999999998,1.0,3.2925807401118315e-15,0.0,exact,0.013163805162970792,
gldm_DependenceEntropy,gldm,original_gldm_DependenceEntropy,direct,2D,yes,410,1.0,1.0000000000000002,1.0,3.5435505056691853e-15,1.880075960027086e-15,exact,8644,1.0,1.0000000000000002,1.0,4.256602127046402e-15,2.258257308901087e-15,exact,3.5435505056691853e-15,
gldm_DependenceNonUniformity,gldm,original_gldm_DependenceNonUniformity,direct,2D,yes,410,0.9999999999999998,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999998,1.0,1.0,0.0,0.0,exact,0.0,
gldm_DependenceNonUniformityNormalized,gldm,original_gldm_DependenceNonUniformityNormalized,direct,2D,yes,410,1.0,1.0,1.0,0.0,0.0,exact,8644,0.9999999999999999,1.0,1.0,0.0,0.0,exact,0.0,
gldm_DependenceVariance,gldm,original_gldm_DependenceVariance,direct,2D,yes,410,0.9999999999999998,0.9999999999999998,1.0,5.886356548906158e-16,1.2768510851282338e-16,exact,8644,1.0,1.0,1.0,8.065288112167753e-16,1.3338124948500309e-16,exact,5.886356548906158e-16,
